Last login: Thu Jan 17 10:32:46 on ttys001
next-major $node ./tools/checkingSeatsInGroup
======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251863 || Showtimes: 2019-02-03T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251864 || Showtimes: 2019-02-03T22:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252018 || Showtimes: 2019-01-17T11:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252019 || Showtimes: 2019-01-17T13:40:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252020 || Showtimes: 2019-01-17T16:20:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252021 || Showtimes: 2019-01-17T19:00:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252022 || Showtimes: 2019-01-17T21:40:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252114 || Showtimes: 2019-01-18T12:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252115 || Showtimes: 2019-01-18T15:10:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252116 || Showtimes: 2019-01-18T17:50:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252117 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: IMAX || Theatre Number: 15 || SessionId: 252118 || Showtimes: 2019-01-18T23:10:00
